clean_text,Category
worldcom exboss launches defence lawyers defending former worldcom chief bernie ebbers battery fraud charges called company whistleblower first witness cynthia cooper worldcom exhead internal accounting alerted directors irregular accounting practices us telecoms giant warnings led collapse firm following discovery bn bn accounting fraud mr ebbers pleaded guilty charges fraud conspiracy prosecution lawyers argued mr ebbers orchestrated series accounting tricks worldcom ordering employees hide expenses inflate revenues meet wall street earnings estimates ms cooper runs consulting business told jury new york wednesday external auditors arthur andersen approved worldcom accounting early said andersen given green light procedures practices used worldcom mr ebber lawyers said unaware fraud arguing auditors alert problems ms cooper also said shareholder meetings mr ebbers often passed technical questions company finance chief giving brief answers prosecution star witness former worldcom financial chief scott sullivan said mr ebbers ordered accounting adjustments firm telling hit books however ms cooper said mr sullivan mentioned anything uncomfortable worldcom accounting audit committee meeting mr ebbers could face jail sentence years convicted charges facing worldcom emerged bankruptcy protection known mci last week mci agreed buyout verizon communications deal valued bn,business
german business confidence slides german business confidence fell february knocking hopes speedy recovery europe largest economy munichbased research institute ifo said confidence index fell february january first decline three months study found outlook manufacturing retail sectors worsened observers hoping confident business sector would signal economic activity picking surprised ifo index taken knock said dz bank economist bernd weidensteiner main reason probably domestic economy still weak particularly retail trade economy labour minister wolfgang clement called dip february ifo confidence figure mild decline said despite retreat index remained relatively high level expected modest economic upswing continue germany economy grew last year shrinking however economy contracted last three months mainly due reluctance consumers spend latest indications growth still proving elusive ifo president hanswerner sinn said improvement german domestic demand sluggish exports kept things going first half demand exports hit value euro hit record levels making german products less competitive overseas top unemployment rate stuck close manufacturing firms including daimlerchrysler siemens volkswagen negotiating unions cost cutting measures analysts said ifo figures germany continuing problems may delay interest rate rise european central bank eurozone interest rates comments senior officials recently focused threat inflation prompting fears interest rates may rise,business
bbc poll indicates economic gloom citizens majority nations surveyed bbc world service poll believe world economy worsening respondents also said national economy getting worse asked family financial outlook majority countries said positive future almost people countries questioned poll mostly conducted asian tsunami disaster poll found majority plurality people countries believed economy going downhill compared respondents nine countries believed improving surveyed three countries split percentage terms average respondents country said world economy getting worse compared said improving similarly pessimistic national economy optimistic saw family economic conditions improving said getting worse poll people conducted international polling firm globescan together program international policy attitudes pipa university maryland world economy picked difficult times years ago people seem fully absorbed development though personally experiencing effects said pipa director steven kull people around world saying ok world may perception war terrorism religious political divisions making world worse place even though far reflected global economic performance says bbc elizabeth blunt countries people optimistic world families two fastgrowing developing economies china india followed indonesia china seen two decades blistering economic growth led wealth creation huge scale says bbc louisa lim beijing results also may reflect untrammelled confidence people subject endless government propaganda country rosy economic future correspondent says south korea pessimistic respondents italy mexico also quite gloomy bbc david willey rome says one reason result changeover lira euro widely viewed biggest reason wages salaries worth less used philippines among upbeat countries prospects respondents families one pessimistic world economy pipa conducted poll november january across countries facetoface telephone interviews interviews took place november january margin error points depending country eight countries sample limited major metropolitan areas,business
lifestyle governs mobile choice faster better funkier hardware alone going help phone firms sell handsets research suggests instead phone firms keen get customers pushing technology sake consumers far interested handsets fit lifestyle screen size onboard memory chip inside shows indepth study handset maker ericsson historically industry much focus using technology said dr michael bjorn senior advisor mobile media ericsson consumer enterprise lab stop saying technologies change lives said try speak consumers language help see fits told bbc news website study ericsson interviewed mobile phone owners ways use phone people habits remain said dr bjorn move activity mobile phone much convenient way one good example diarywriting among younger people said diaries always popular mobile phone especially one equipped camera helps keep different form youngsters use text messages also reflects desire chat keep contact friends lets slightly changed way dr bjorn said although consumers always use phone sheer variety new handset technologies make possible gradually drive new habits lifestyles ericsson research shown consumers divide different tribes use phones different ways dr bjorn said groups dubbed pioneers materialists interested trying new things behind start many trends phone use instance said older people using sms much five years ago younger users often children ageing mobile owners encouraged older people try could keep touch another factor governing speed change mobile phone use simple speed new devices bought pioneers materialists people handsets new innovations cameras consumers stop worrying send picture message person end able see significant number users passed use new innovations tends take dr bjorn said early reports camera phone usage japan seemed imply innovation going flop however said japanese people ericsson questioned use camera phone least month figure similarly across europe numbers people taking snaps cameras starting rise people uk took phonecam snap least month figure similar rises seen many european nations dr bjorn said people also used camera phones different ways film even digital cameras usage patterns digital cameras almost exactly replacing usage patterns analogue cameras said digital cameras tend used significant events weddings holidays birthdays contrast said camera phones used much capture moment woven everyday life,tech
enron bosses payout eighteen former enron directors agreed settlement deal shareholder lawsuit collapse energy firm leading plaintiff university california announced news adding former directors pay pockets settlement put courts approval next week enron went bankrupt emerged hidden hundreds millions dollars debt collapse firm seventh biggest public us company revenue demise sent shockwaves financial markets dented investor confidence corporate america settlement significant holding outside directors least partially personally responsible william lerach lawyer leading class action suit enron said hopefully help send message corporate boardrooms importance directors performing legal duties added terms settlement covered insurance none former directors admit wrongdoing deal fourth major settlement negotiated lawyers filed class action behalf enron shareholders almost three years ago far including latest deal retrieved investors however latest deal include former enron chief executives ken lay jeff skilling men facing criminal charges alleged misconduct run firm collapse neither cover andrew fastow pleaded guilty taking part illegal conspiracy chief financial officer group enron shareholders still seeking damages long list big name defendants including financial institutions jp morgan chase citigroup merrill lynch credit suisse first boston university california said trial case scheduled begin october joined lawsuit december alleging massive insider trading fraud claiming lost investments company,business
howard truanted play snooker conservative leader michael howard admitted used play truant spend time school friends snooker hall mr howard said time jack snooker hall llanelli done lasting damage told times educational supplement truancy bad said firm action needed mr howard also called return olevels classroom discipline mr howard eventually left llanelli grammar school snooker hall go cambridge university said think done lasting damage made snooker world champion might occasions left early afternoon honest think truancy bad thing firm action taken deal another player failed win snooker world championship jimmy whirlwind white previously admitted missing lessons instead spending days smoky halls tony meo another player used spend spare time mr white said loved game atmosphere school went window went started taking time mr howard fellow welshman ray reardon known fellow professionals dracula snooker world championship six times left school work miner terry griffiths like mr howard llanelli tournament known whether two ever clashed cues jack,politics
wales silent grand slam talk rhys williams says wales still thinking winning grand slam despite third six nations win last thing minds moment said williams second half replacement saturday win france paris realise difficult task go scotland beat come unstuck couple times recently focus game worry ireland hopefully beaten scotland captain gareth thomas ruled rest campaign broken thumb williams vying first start championship far kevin morgan probably favourite replace thomas fullback leaving williams hal luscombe battle right wing berth hamstring injury denied luscombe opportunity make third successive start dragons winger expected fit trip murrayfield march hooker robin mcbryde doubtful picking knee injury paris centre sonny parker flanker colin charvis set recover injury contention selection said wales assistant coach scott johnson worked weekend reports bit positive getting couple back adds depth squad scotland secured first win campaign saturday grinding win italy matt williams side shown little attack johnson insisted scots difficult opposition break italy really brave opposition sometimes hard win said ugly win effective point victory scotland hard side underrated taking anything granted basking glory winning first three games got diligent preparation job got make sure focused,sport
french honour director parker british film director sir alan parker made officer order arts letters one france highest cultural honours sir alan received decoration paris wednesday french culture minister renaud donnedieu de vabres explored possibilities film immense talent mr de vabres said presented award parker praised french films saying hollywood created modern cinema uses commodity told minister honoured thus distinguished france flag carrier cinema throughout world sir alan films include oscarwinning fame plus midnight express commitments founding member director guild great britain former chairman uk film council board british film institute work campaigns shown us artist occupies essential place contemporary society mr de vabres said dreams show us links weave question world mirror work also cited director film life david gale kevin spacey played man death row proof veritable artistic commitment death sentence,entertainment
car giant hit mercedes slump slump profitability luxury car maker mercedes prompted big drop profits parent daimlerchrysler germanus carmaker saw fourth quarter operating profits fall euros bn bn euros mercedesbenz woes profits slid euros obscured strong performance chrysler group whose returns met market expectations mercedes faces fierce competition luxury car sector bmw hopes revive fortunes mercedes profits period compared unfavourably euro figure well analyst expectations euros year whole operating profits fell bn euros sales mercedes brands fell demand cooled revenues affected weakness us dollar carmaker blamed fall profits high launch costs new models losses mercedes smart minicar range mercedes hoping increase productivity bn euros negotiated euros annual savings german workers last year firm said determined retain mercedes position world successful luxury brand however daimlerchrysler shares fell news divisions well big worries continue surround mercedesbenz michael rabb analyst bank sal oppenheim told reuters contrast chrysler enjoyed annual increase unit sales revenues calculated us dollars rose us division whose marques include dodge jeep transformed full year operating loss euros bn euros profit last year overall daimlerchrysler saw worldwide vehicle sales rise million total revenues added bn euros chrysler strong performance helped world fifth largest carmaker boost net income euros bn euros year shows strategy works well even challenging competitive environment said jurgen schrempp daimlerchrysler chairman daimlerchrysler took euro hit costs stemming defects scandal joint venture japanese subsidiary fuso daimlerchrysler last week agreed compensation package partner mitsubishi motors see buy stake fuso looking forward daimerchrysler profits expected slightly higher however expecting significant improvements profitability result major investment mercedes product range,business
fockers fuel festive film chart comedy meet fockers topped festive box office north america setting new record christmas day sequel took december according studio estimates took christmas day alone highest takings day box office history meet fockers sequel ben stiller comedy meet parents also starring robert de niro blythe danner dustin hoffman barbra streisand despite success meet fockers takings figures blamed christmas falling weekend year christmas falls weekend bad business said paul dergarabedian president exhibitor relations compiles box office statistics weekend top films took estimated compared last year third lord rings film dominated box office meet fockers knocked last week top film lemony snicket series unfortunate events third place comedy fat albert cowritten bill cosby entered chart second place opening christmas day taking aviator starring leonardo dicaprio howard hughes took expanding cinemas christmas day,entertainment
